"LocID","Time","AgeGrp"
4,"1995-2000","15-19"
4,"1995-2000","20-24"
4,"1995-2000","25-29"
4,"1995-2000","30-34"
4,"1995-2000","35-39"
4,"1995-2000","40-44"
4,"1995-2000","45-49"
4,"2000-2005","15-19"
4,"2000-2005","20-24"
4,"2000-2005","25-29"
4,"2000-2005","30-34"
4,"2000-2005","35-39"
4,"2000-2005","40-44"
4,"2000-2005","45-49"
4,"2005-2010","15-19"
4,"2005-2010","20-24"
4,"2005-2010","25-29"
4,"2005-2010","30-34"
4,"2005-2010","35-39"
4,"2005-2010","40-44"
4,"2005-2010","45-49"
4,"2010-2015","15-19"
4,"2010-2015","20-24"
4,"2010-2015","25-29"
4,"2010-2015","30-34"
4,"2010-2015","35-39"
4,"2010-2015","40-44"
4,"2010-2015","45-49"
4,"2015-2020","15-19"
4,"2015-2020","20-24"
4,"2015-2020","25-29"
4,"2015-2020","30-34"
4,"2015-2020","35-39"
4,"2015-2020","40-44"
4,"2015-2020","45-49"
4,"2020-2025","15-19"
4,"2020-2025","20-24"
4,"2020-2025","25-29"
4,"2020-2025","30-34"
4,"2020-2025","35-39"
4,"2020-2025","40-44"
4,"2020-2025","45-49"
4,"2025-2030","15-19"
4,"2025-2030","20-24"
4,"2025-2030","25-29"
4,"2025-2030","30-34"
4,"2025-2030","35-39"
4,"2025-2030","40-44"
4,"2025-2030","45-49"
4,"2030-2035","15-19"
4,"2030-2035","20-24"
4,"2030-2035","25-29"
4,"2030-2035","30-34"
4,"2030-2035","35-39"
4,"2030-2035","40-44"
4,"2030-2035","45-49"
4,"2035-2040","15-19"
4,"2035-2040","20-24"
4,"2035-2040","25-29"
4,"2035-2040","30-34"
4,"2035-2040","35-39"
4,"2035-2040","40-44"
4,"2035-2040","45-49"
4,"2040-2045","15-19"
4,"2040-2045","20-24"
4,"2040-2045","25-29"
4,"2040-2045","30-34"
4,"2040-2045","35-39"
4,"2040-2045","40-44"
4,"2040-2045","45-49"
4,"2045-2050","15-19"
4,"2045-2050","20-24"
4,"2045-2050","25-29"
4,"2045-2050","30-34"
4,"2045-2050","35-39"
4,"2045-2050","40-44"
4,"2045-2050","45-49"
903,"1995-2000","15-19"
903,"1995-2000","20-24"
903,"1995-2000","25-29"
903,"1995-2000","30-34"
903,"1995-2000","35-39"
903,"1995-2000","40-44"
903,"1995-2000","45-49"
903,"2000-2005","15-19"
903,"2000-2005","20-24"
903,"2000-2005","25-29"
903,"2000-2005","30-34"
903,"2000-2005","35-39"
903,"2000-2005","40-44"
903,"2000-2005","45-49"
903,"2005-2010","15-19"
903,"2005-2010","20-24"
903,"2005-2010","25-29"
903,"2005-2010","30-34"
903,"2005-2010","35-39"
903,"2005-2010","40-44"
903,"2005-2010","45-49"
903,"2010-2015","15-19"
903,"2010-2015","20-24"
903,"2010-2015","25-29"
903,"2010-2015","30-34"
903,"2010-2015","35-39"
903,"2010-2015","40-44"
903,"2010-2015","45-49"
903,"2015-2020","15-19"
903,"2015-2020","20-24"
903,"2015-2020","25-29"
903,"2015-2020","30-34"
903,"2015-2020","35-39"
903,"2015-2020","40-44"
903,"2015-2020","45-49"
903,"2020-2025","15-19"
903,"2020-2025","20-24"
903,"2020-2025","25-29"
903,"2020-2025","30-34"
903,"2020-2025","35-39"
903,"2020-2025","40-44"
903,"2020-2025","45-49"
903,"2025-2030","15-19"
903,"2025-2030","20-24"
903,"2025-2030","25-29"
903,"2025-2030","30-34"
903,"2025-2030","35-39"
903,"2025-2030","40-44"
903,"2025-2030","45-49"
903,"2030-2035","15-19"
903,"2030-2035","20-24"
903,"2030-2035","25-29"
903,"2030-2035","30-34"
903,"2030-2035","35-39"
903,"2030-2035","40-44"
903,"2030-2035","45-49"
903,"2035-2040","15-19"
903,"2035-2040","20-24"
903,"2035-2040","25-29"
903,"2035-2040","30-34"
903,"2035-2040","35-39"
903,"2035-2040","40-44"
903,"2035-2040","45-49"
903,"2040-2045","15-19"
903,"2040-2045","20-24"
903,"2040-2045","25-29"
903,"2040-2045","30-34"
903,"2040-2045","35-39"
903,"2040-2045","40-44"
903,"2040-2045","45-49"
903,"2045-2050","15-19"
903,"2045-2050","20-24"
903,"2045-2050","25-29"
903,"2045-2050","30-34"
903,"2045-2050","35-39"
